'2026-05-29 16:08:22 {main} INFO  c.u.m.n.NotificacionServiceApplication - Starting NotificacionServiceApplication using Java 17.0.12 with PID 7716 (D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service\target\classes started by Soporte in D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service)
''2026-05-29 16:08:29 {main} INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
''2026-05-29 16:08:30 {main} INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@e5c5e6
''2026-05-29 16:08:30 {main} INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
''2026-05-29 16:08:30 {main} INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
''2026-05-29 16:08:31 {main} INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.49.Final
''2026-05-29 16:08:31 {main} INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
''2026-05-29 16:08:32 {main} INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
''2026-05-29 16:08:33 {main} WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
''2026-05-29 16:08:33 {main} INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 16.13
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
''2026-05-29 16:08:36 {main} INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
''2026-05-29 16:08:36 {main} INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
''2026-05-29 16:08:37 {main} WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
''2026-05-29 16:08:38 {main} INFO  o.s.c.o.FeignClientFactoryBean - For 'pacientes-service' URL not provided. Will try picking an instance via load-balancing.
''2026-05-29 16:08:40 {main} INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
''2026-05-29 16:08:40 {main} WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
''2026-05-29 16:08:41 {main} INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
''2026-05-29 16:08:41 {main} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
''2026-05-29 16:08:41 {main} INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
''2026-05-29 16:08:42 {main} INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
''2026-05-29 16:08:42 {main} INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
''2026-05-29 16:08:42 {main} INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1780092522111 with initial instances count: 5
''2026-05-29 16:08:42 {main} INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application NOTIFICACION-SERVICE with eureka with status UP
''2026-05-29 16:08:42 {main} INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1780092522163, current=UP, previous=STARTING]
''2026-05-29 16:08:42 {DiscoveryClient-InstanceInfoReplicator-%d} INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_NOTIFICACION-SERVICE/VITO:notificacion-service:8099: registering service...
''2026-05-29 16:08:42 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8099 (http) with context path '/'
''2026-05-29 16:08:42 {main} INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8099
''2026-05-29 16:08:42 {DiscoveryClient-InstanceInfoReplicator-%d} INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_NOTIFICACION-SERVICE/VITO:notificacion-service:8099 - registration status: 204
''2026-05-29 16:08:43 {main} INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
''2026-05-29 16:08:43 {main} INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#4b3ea082:0/SimpleConnection@2b1aa390 [delegate=amqp://guest@127.0.0.1:5672/, localPort=53073]
''2026-05-29 16:08:43 {main} INFO  c.u.m.n.NotificacionServiceApplication - Started NotificacionServiceApplication in 24.706 seconds (process running for 27.015)
''2026-05-29 16:13:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:18:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:21:43 {http-nio-8099-exec-1} INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
''2026-05-29 16:21:43 {http-nio-8099-exec-1} INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
''2026-05-29 16:21:43 {http-nio-8099-exec-1} INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 106 ms
''2026-05-29 16:23:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:28:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:33:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:38:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:43:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:48:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 16:53:41 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 17:10:05 {main} INFO  c.u.m.n.NotificacionServiceApplication - Starting NotificacionServiceApplication using Java 17.0.12 with PID 16268 (D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service\target\classes started by Soporte in d:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service)
''2026-05-29 17:10:05 {main} INFO  c.u.m.n.NotificacionServiceApplication - No active profile set, falling back to 1 default profile: "default"
''2026-05-29 17:10:05 {main} INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
''2026-05-29 17:10:05 {main} INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=notificacion-service, profiles=[default], label=null, version=null, state=null
''2026-05-29 17:10:07 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
''2026-05-29 17:10:08 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 447 ms. Found 1 JPA repository interface.
''2026-05-29 17:10:09 {main} INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2833f708-7d12-38ff-aa81-e4bfb1ca42a2
''2026-05-29 17:10:10 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8099 (http)
''2026-05-29 17:10:10 {main} INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
''2026-05-29 17:10:10 {main} INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
''2026-05-29 17:10:10 {main} INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
''2026-05-29 17:10:10 {main} INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5146 ms
''2026-05-29 17:10:11 {main} INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
''2026-05-29 17:10:11 {main} INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6d9428f3
''2026-05-29 17:10:11 {main} INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
''2026-05-29 17:10:11 {main} INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
''2026-05-29 17:10:12 {main} INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.49.Final
''2026-05-29 17:10:12 {main} INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
''2026-05-29 17:10:13 {main} INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
''2026-05-29 17:10:13 {main} WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
''2026-05-29 17:10:13 {main} INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 16.13
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
''2026-05-29 17:10:16 {main} INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
''2026-05-29 17:10:16 {main} INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
''2026-05-29 17:10:17 {main} WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
''2026-05-29 17:10:18 {main} INFO  o.s.c.o.FeignClientFactoryBean - For 'pacientes-service' URL not provided. Will try picking an instance via load-balancing.
''2026-05-29 17:10:20 {main} INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
''2026-05-29 17:10:20 {main} WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
''2026-05-29 17:10:20 {main} INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
''2026-05-29 17:10:21 {main} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
''2026-05-29 17:10:21 {main} INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
''2026-05-29 17:10:22 {main} INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
''2026-05-29 17:10:22 {main} INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1780096222006 with initial instances count: 4
''2026-05-29 17:10:22 {main} INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application NOTIFICACION-SERVICE with eureka with status UP
''2026-05-29 17:10:22 {main} INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1780096222022, current=UP, previous=STARTING]
''2026-05-29 17:10:22 {DiscoveryClient-InstanceInfoReplicator-%d} INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_NOTIFICACION-SERVICE/VITO:notificacion-service:8099: registering service...
''2026-05-29 17:10:22 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8099 (http) with context path '/'
''2026-05-29 17:10:22 {main} INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8099
''2026-05-29 17:10:22 {DiscoveryClient-InstanceInfoReplicator-%d} INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_NOTIFICACION-SERVICE/VITO:notificacion-service:8099 - registration status: 204
''2026-05-29 17:10:22 {main} INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
''2026-05-29 17:10:22 {main} INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3f8961fc:0/SimpleConnection@1c298769 [delegate=amqp://guest@127.0.0.1:5672/, localPort=49979]
''2026-05-29 17:10:23 {main} INFO  c.u.m.n.NotificacionServiceApplication - Started NotificacionServiceApplication in 20.493 seconds (process running for 22.331)
''2026-05-29 17:12:20 {http-nio-8099-exec-1} INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
''2026-05-29 17:12:20 {http-nio-8099-exec-1} INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
''2026-05-29 17:12:20 {http-nio-8099-exec-1} INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 79 ms
''2026-05-29 17:15:21 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 17:20:21 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 17:25:21 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 17:30:21 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 17:35:21 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 21:33:20 {main} INFO  c.u.m.n.NotificacionServiceApplication - Starting NotificacionServiceApplication using Java 17.0.12 with PID 37016 (D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service\target\classes started by Soporte in d:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service)
''2026-05-29 21:33:20 {main} INFO  c.u.m.n.NotificacionServiceApplication - No active profile set, falling back to 1 default profile: "default"
''2026-05-29 21:33:20 {main} INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
''2026-05-29 21:33:20 {main} INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=notificacion-service, profiles=[default], label=null, version=null, state=null
''2026-05-29 21:33:24 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
''2026-05-29 21:33:25 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 650 ms. Found 1 JPA repository interface.
''2026-05-29 21:33:27 {main} INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2833f708-7d12-38ff-aa81-e4bfb1ca42a2
''2026-05-29 21:33:29 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8099 (http)
''2026-05-29 21:33:29 {main} INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
''2026-05-29 21:33:29 {main} INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
''2026-05-29 21:33:29 {main} INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
''2026-05-29 21:33:29 {main} INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8915 ms
''2026-05-29 21:33:30 {main} INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
''2026-05-29 21:33:31 {main} INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3caa4d85
''2026-05-29 21:33:31 {main} INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
''2026-05-29 21:33:32 {main} INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
''2026-05-29 21:33:32 {main} INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.49.Final
''2026-05-29 21:33:33 {main} INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
''2026-05-29 21:33:36 {main} INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
''2026-05-29 21:33:36 {main} WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
''2026-05-29 21:33:36 {main} INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 16.13
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
''2026-05-29 21:33:43 {main} INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
''2026-05-29 21:33:43 {main} INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
''2026-05-29 21:33:45 {main} WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
''2026-05-29 21:33:47 {main} INFO  o.s.c.o.FeignClientFactoryBean - For 'pacientes-service' URL not provided. Will try picking an instance via load-balancing.
''2026-05-29 21:33:54 {main} INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
''2026-05-29 21:33:54 {main} WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
''2026-05-29 21:33:54 {main} INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
''2026-05-29 21:33:55 {main} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
''2026-05-29 21:33:55 {main} INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
''2026-05-29 21:33:57 {main} INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
''2026-05-29 21:33:57 {main} INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
''2026-05-29 21:33:57 {main} INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
''2026-05-29 21:33:57 {main} INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1780112037613 with initial instances count: 6
''2026-05-29 21:33:57 {main} INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application NOTIFICACION-SERVICE with eureka with status UP
''2026-05-29 21:33:57 {main} INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1780112037647, current=UP, previous=STARTING]
''2026-05-29 21:33:57 {DiscoveryClient-InstanceInfoReplicator-%d} INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_NOTIFICACION-SERVICE/VITO:notificacion-service:8099: registering service...
''2026-05-29 21:33:57 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8099 (http) with context path '/'
''2026-05-29 21:33:57 {main} INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8099
''2026-05-29 21:33:58 {DiscoveryClient-InstanceInfoReplicator-%d} INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_NOTIFICACION-SERVICE/VITO:notificacion-service:8099 - registration status: 204
''2026-05-29 21:33:58 {main} INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
''2026-05-29 21:33:59 {main} INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#10522dfd:0/SimpleConnection@57bebe03 [delegate=amqp://guest@127.0.0.1:5672/, localPort=61692]
''2026-05-29 21:33:59 {main} INFO  c.u.m.n.NotificacionServiceApplication - Started NotificacionServiceApplication in 43.414 seconds (process running for 46.177)
''2026-05-29 21:36:48 {http-nio-8099-exec-2} INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
''2026-05-29 21:36:48 {http-nio-8099-exec-2} INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
''2026-05-29 21:36:48 {http-nio-8099-exec-2} INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 126 ms
''2026-05-29 21:38:56 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 21:43:56 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 21:48:56 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
''2026-05-29 21:53:56 {AsyncResolver-bootstrap-executor-%d} INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
